prov,partido,votantes,nulos,votos_partido,votos_pc
Almería,AA,259016,1905,4467,1.7
Almería,Cs,259016,1905,6560,2.6
Almería,Otros,259016,1905,4073,1.6
Almería,PP,259016,1905,116974,45.5
Almería,PSOE,259016,1905,56770,22.1
Almería,VOX,259016,1905,53359,20.8
Almería,xA,259016,1905,12782,5
Cádiz,AA,518342,4775,41198,8
Cádiz,Cs,518342,4775,19694,3.8
Cádiz,Otros,518342,4775,13959,2.7
Cádiz,PP,518342,4775,218176,42.5
Cádiz,PSOE,518342,4775,107929,21
Cádiz,VOX,518342,4775,68035,13.2
Cádiz,xA,518342,4775,38404,7.5
Córdoba,AA,391390,5214,13431,3.5
Córdoba,Cs,391390,5214,12167,3.2
Córdoba,Otros,391390,5214,6425,1.7
Córdoba,PP,391390,5214,172637,44.7
Córdoba,PSOE,391390,5214,90800,23.5
Córdoba,VOX,391390,5214,48073,12.4
Córdoba,xA,391390,5214,38309,9.9
Granada,AA,418729,5039,13123,3.2
Granada,Cs,418729,5039,12182,2.9
Granada,Otros,418729,5039,9485,2.3
Granada,PP,418729,5039,174464,42.2
Granada,PSOE,418729,5039,105094,25.4
Granada,VOX,418729,5039,63674,15.4
Granada,xA,418729,5039,31887,7.7
Huelva,AA,214363,2924,8358,4
Huelva,Cs,214363,2924,5707,2.7
Huelva,Otros,214363,2924,6045,2.9
Huelva,PP,214363,2924,90308,42.7
Huelva,PSOE,214363,2924,57903,27.4
Huelva,VOX,214363,2924,26995,12.8
Huelva,xA,214363,2924,13830,6.5
Jaén,AA,321203,4206,5620,1.8
Jaén,Cs,321203,4206,7040,2.2
Jaén,Otros,321203,4206,22881,7.2
Jaén,PP,321203,4206,134799,42.5
Jaén,PSOE,321203,4206,85858,27.1
Jaén,VOX,321203,4206,40728,12.8
Jaén,xA,321203,4206,17639,5.6
Málaga,AA,653047,6139,24343,3.8
Málaga,Cs,653047,6139,22385,3.5
Málaga,Otros,653047,6139,16767,2.6
Málaga,PP,653047,6139,303993,47
Málaga,PSOE,653047,6139,133964,20.7
Málaga,VOX,653047,6139,87401,13.5
Málaga,xA,653047,6139,52120,8.1
Sevilla,AA,921144,11287,56697,6.2
Sevilla,Cs,921144,11287,34644,3.8
Sevilla,Otros,921144,11287,21544,2.4
Sevilla,PP,921144,11287,365241,40.1
Sevilla,PSOE,921144,11287,242436,26.6
Sevilla,VOX,921144,11287,103865,11.4
Sevilla,xA,921144,11287,75791,8.3
